id,target
0,1
2,1
3,1
9,0
11,0
12,0
21,1
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,0
46,1
47,0
51,0
58,0
60,0
69,1
70,0
72,1
75,0
84,0
87,0
88,0
90,0
94,0
99,0
101,0
103,0
106,1
108,0
111,0
115,0
116,0
122,0
123,0
124,0
125,0
127,0
140,0
142,0
147,0
148,1
150,0
152,0
154,0
155,1
166,0
167,0
169,0
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,1
206,0
207,0
214,1
217,0
223,0
224,0
227,1
228,0
230,0
233,1
234,0
236,0
239,0
250,1
255,0
257,0
259,1
275,1
278,1
282,1
284,0
286,0
288,1
292,0
295,1
300,0
304,1
305,0
306,0
308,0
311,0
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,0
343,0
350,0
351,1
357,1
359,1
362,0
366,0
367,1
369,1
373,0
374,0
376,0
377,1
378,1
379,0
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,0
400,1
403,0
405,1
408,0
411,0
414,0
416,0
417,1
422,0
425,0
428,1
430,1
431,1
433,0
434,1
439,1
441,0
449,0
458,1
460,1
464,0
473,0
488,0
491,1
494,0
497,0
500,1
505,0
507,1
508,0
510,0
511,0
515,1
525,1
529,0
532,0
534,0
537,0
539,0
541,0
545,0
547,1
548,1
549,0
553,1
554,0
555,0
557,1
562,0
566,0
572,1
573,1
582,1
586,0
587,0
590,0
591,1
593,1
595,1
596,0
597,1
601,1
602,0
605,1
610,1
616,0
618,0
620,1
626,1
627,0
629,0
632,1
634,0
639,1
645,0
647,0
648,0
650,0
663,0
666,0
668,0
670,0
673,0
676,0
678,0
692,0
693,1
694,1
695,1
696,0
698,0
701,1
703,0
707,0
708,0
711,0
715,0
718,1
722,0
723,1
733,0
741,0
742,0
743,0
747,0
749,0
750,0
756,1
757,0
760,0
764,0
765,0
766,0
768,0
769,0
771,1
772,0
776,1
778,0
780,0
785,0
789,0
792,0
793,0
811,0
813,0
816,0
821,1
824,0
825,1
827,0
830,1
831,0
839,0
844,1
847,1
850,1
854,1
855,1
858,0
861,1
862,0
865,1
869,1
879,0
880,0
887,1
889,0
897,0
900,0
901,1
904,0
908,0
909,0
910,0
913,1
914,1
917,1
918,0
920,1
922,1
924,1
925,1
927,0
933,1
937,1
943,1
949,1
950,1
954,0
966,0
967,0
969,0
970,0
973,0
975,0
980,0
988,0
989,0
995,1
1000,1
1003,1
1007,0
1011,0
1012,1
1013,1
1014,0
1016,1
1019,0
1025,0
1027,0
1028,1
1030,0
1033,0
1034,0
1039,1
1046,1
1047,0
1053,0
1055,0
1056,0
1059,0
1060,0
1063,0
1064,0
1068,0
1076,0
1086,0
1087,0
1089,1
1092,0
1095,0
1096,0
1097,0
1100,0
1101,0
1107,1
1108,0
1111,0
1115,0
1116,0
1121,0
1125,0
1127,0
1131,0
1133,0
1135,1
1137,0
1140,1
1144,1
1147,0
1148,1
1150,0
1158,0
1159,0
1161,0
1163,1
1165,0
1169,0
1171,0
1172,1
1176,0
1180,0
1184,0
1186,0
1187,1
1192,0
1193,0
1194,1
1197,1
1200,0
1205,0
1210,1
1216,1
1220,0
1231,0
1233,0
1246,0
1247,0
1248,0
1255,1
1256,1
1257,0
1258,0
1260,0
1261,0
1265,0
1266,0
1268,0
1274,0
1281,1
1285,1
1286,0
1291,0
1292,0
1295,1
1299,0
1306,0
1310,0
1311,1
1313,1
1314,0
1322,1
1323,0
1325,1
1329,0
1330,0
1333,0
1336,0
1339,1
1342,0
1344,1
1355,1
1357,1
1358,1
1359,0
1364,1
1366,1
1367,1
1370,0
1373,0
1377,1
1386,1
1387,1
1392,1
1397,1
1398,0
1400,1
1403,1
1404,0
1410,1
1413,0
1416,1
1417,0
1423,0
1424,1
1426,1
1427,1
1428,1
1430,1
1434,0
1435,1
1437,0
1438,0
1442,0
1446,0
1451,0
1457,0
1461,1
1462,0
1465,0
1468,0
1469,1
1471,0
1476,1
1478,0
1481,0
1489,0
1490,0
1492,1
1496,0
1512,0
1516,0
1517,1
1528,0
1529,0
1536,0
1539,0
1541,1
1542,1
1548,0
1550,1
1551,0
1552,1
1557,0
1563,0
1564,0
1565,0
1566,0
1571,0
1578,1
1581,0
1583,1
1584,1
1586,1
1589,0
1592,0
1598,1
1606,1
1612,1
1616,0
1620,1
1624,1
1629,0
1630,0
1635,1
1640,0
1641,0
1642,0
1651,0
1655,0
1656,0
1659,0
1664,0
1667,0
1668,0
1674,1
1678,0
1680,1
1681,1
1682,1
1685,1
1695,1
1696,1
1697,0
1704,1
1708,1
1711,0
1713,0
1714,0
1717,1
1729,1
1730,0
1732,1
1734,1
1736,0
1738,0
1742,0
1743,0
1746,0
1748,0
1749,1
1751,0
1758,1
1764,1
1765,0
1777,0
1778,0
1781,0
1782,1
1783,1
1785,0
1788,1
1793,0
1794,0
1795,1
1797,0
1800,1
1801,1
1805,1
1806,1
1819,0
1820,1
1825,0
1828,0
1829,0
1830,0
1839,0
1843,1
1844,0
1846,1
1849,0
1850,0
1854,0
1855,1
1858,1
1859,0
1862,1
1867,1
1868,0
1871,0
1872,1
1874,0
1876,0
1879,0
1884,0
1891,1
1894,1
1896,0
1902,0
1903,1
1904,0
1906,0
1907,1
1912,1
1913,1
1923,0
1926,1
1928,1
1930,1
1931,0
1934,0
1936,1
1944,1
1946,1
1947,0
1958,0
1964,1
1970,1
1974,0
1977,0
1978,0
1982,0
1984,1
1988,0
1993,0
1997,0
1998,0
2002,0
2004,0
2005,0
2008,1
2011,0
2013,0
2018,1
2021,0
2025,1
2029,1
2030,1
2032,1
2037,0
2041,0
2044,1
2048,1
2052,0
2053,0
2054,1
2062,1
2065,1
2066,1
2072,0
2079,0
2080,1
2085,0
2088,1
2090,1
2092,0
2093,1
2101,0
2104,0
2105,0
2106,0
2107,0
2120,1
2124,0
2127,0
2130,0
2132,0
2135,0
2137,0
2140,0
2143,0
2147,0
2151,0
2152,0
2155,1
2156,1
2162,0
2165,0
2166,0
2167,0
2168,0
2170,0
2178,0
2180,0
2182,0
2184,0
2185,0
2187,0
2196,0
2197,0
2199,1
2200,0
2201,0
2202,0
2206,0
2208,0
2218,1
2223,0
2224,0
2226,0
2228,0
2232,0
2234,0
2243,1
2247,0
2249,0
2252,0
2253,0
2259,0
2261,0
2264,0
2268,0
2269,0
2270,0
2276,0
2283,1
2287,0
2290,0
2291,0
2293,0
2295,0
2302,0
2305,0
2310,0
2313,0
2316,0
2320,0
2322,0
2323,1
2326,0
2328,0
